0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58
coronavirus,vaccine,made,in,saskatchewan,canada,is,now,in,the,testing,stages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uk,will,veto,donald,trumps,bid,to,let,russia,back,into,the,g7,as,there,is,no,evidence,of,changed,behaviour,since,putin,annexed,the,crimea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
newly,revealed,financial,records,show,trump,owes,millions,to,stateowned,bank,in,china,report,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
boris,johnson,says,3m,people,in,hong,kong,will,get,path,to,british,citizenship,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
south,african,president,cyril,ramaphosa,says,that,they,are,willing,to,share,their,lessons,from,its,peaceful,transition,to,democracy,with,the,us,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
south,park,episode,banned,in,china,screened,on,hong,kong,streets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cancer,vaccine,eliminates,tumors,in,mice,90,of,90,mice,cured,of,cancers,with,lymphoma,similar,results,observed,in,colon,breast,and,melanoma,cancers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
if,us,president,donald,trump,goes,ahead,with,his,threat,to,close,twitter,the,site,can,always,relocate,to,germany,a,senior,german,official,suggests,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ireland,help,raise,18,million,dollars,for,the,choctaw,badly,affected,by,covid19,as,payback,for,a,150,donation,by,the,choctaw,tribe,in,1847,during,the,irish,potatoe,famine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
the,philippines,wins,its,firstever,olympic,gold,after,nearly,100,years,of,trying,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
egypts,first,female,ship,captain,fears,for,her,career,after,she,was,blamed,falsely,for,the,suez,canal,blockage,when,she,was,aboard,a,vessel,200,miles,away,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
research,finds,that,new,zealand,beat,covid19,by,trusting,leaders,and,following,advice,citizens,had,a,high,level,of,knowledge,about,coronavirus,and,how,it,spread,and,compliance,with,basic,hygiene,practices,and,trust,in,authorities,was,at,nearly,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
south,park,declares,f,the,chinese,government,in,300th,episode,after,the,show,was,banned,in,china,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
students,in,japan,submit,petition,to,raise,age,of,consent,from,13,to,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
we,dont,know,a,planet,like,this,co2,levels,hit,415,ppm,for,1st,time,in,3,million,yrs,how,is,this,not,breaking,news,on,all,channels,all,over,the,world,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
south,korean,church,sprayed,salt,water,inside,followers,mouths,believing,it,would,prevent,coronavirus,46,people,got,infected,because,they,used,the,same,nozzle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
doctor,in,charge,of,treating,alexei,navalny,in,russia,after,novichok,poisoning,dies,suddenly,and,very,unexpectedly,of,suspected,heart,attack,aged,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cocacola,pepsi,and,nestlé,named,top,plastic,polluters,for,third,year,in,a,row,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
prince,philip,the,duke,of,edinburgh,and,consort,to,queen,elizabeth,ii,dies,aged,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
worlds,largest,vaccine,manufacturer,in,maharashtra,india,wants,to,cap,vaccine,price,at,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
italy,bans,unvaccinated,children,from,school,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
biden,officially,recognizes,the,massacre,of,armenians,in,world,war,i,as,a,genocide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
the,uk,will,introduce,a,new,visa,at,the,end,of,january,that,will,give,54,million,hong,kong,residents,a,staggering,70,of,the,territorys,population,the,right,to,come,and,live,in,the,uk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aldi,tells,suppliers,product,packaging,must,be,100,recyclable,reusable,or,compostable,by,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
snake,island,soldiers,who,told,russian,warship,go,fk,yourself,are,alive,navy,confirms,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bill,and,melinda,gates,sue,company,that,was,granted,30million,to,develop,a,pneumonia,vaccine,for,children,but,instead,used,the,money,to,pay,off,its,back,rent,and,other,debts,it,racked,up,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mexico,decriminalizes,abortion,a,dramatic,step,in,worlds,secondbiggest,catholic,country,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
coronavirus,is,declared,global,emergency,by,world,health,organization,as,outbreak,continues,to,spread,outside,china,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
russian,warship,go,f,yourselves,final,words,of,ukrainian,border,guards,on,snake,island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
the,saddest,thing,is,that,it,wont,be,breaking,news,concentration,of,co2,hits,record,high,of,416,ppm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
microsoft,japans,experiment,with,a,3day,weekend,boosts,worker,productivity,by,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
anonymous,has,hacked,russian,streaming,services,to,broadcast,footage,of,the,war,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pope,francis,takes,aim,at,antimask,protestors,they,are,incapable,of,moving,outside,of,their,own,little,world,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
iran,issues,arrest,warrant,for,trump,asks,interpol,to,help,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
germany,ends,all,arms,sales,to,saudi,arabia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
twitter,will,now,label,political,ads,including,who,bought,them,and,how,much,they,are,spending,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fury,erupts,outside,buckingham,palace,as,enraged,crowds,scream,paedophile,at,gates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
anonymous,hacks,russian,federal,agency,releases,360000,documents,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
new,zealand,secures,enough,vaccine,for,all,new,zealanders,and,six,pacific,nations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
same,sex,marriage,is,now,legal,in,australia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ukrainian,troops,have,recaptured,hostomel,airfield,in,the,northwest,suburbs,of,kyiv,a,presidential,adviser,has,told,the,reuters,news,agency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fearing,poisoning,vladimir,putin,replaces,1000,of,his,personal,staff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brazilian,spokesperson,tests,positive,for,covid19,after,he,meets,with,trump,and,pence,at,maralago,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
irish,developed,testing,kit,confirms,coronavirus,in,15,minutes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tesla,turns,power,back,on,at,childrens,hospital,in,puerto,rico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
canada,bans,assault,weapons,including,1500,models,and,variants,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
russia,banned,from,all,global,sport,including,2020,oiympics,and,2022,world,cup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
please,save,your,praise,we,dont,want,it,swedish,climate,activist,greta,thunberg,told,the,usa,senate,climate,change,task,force,dont,invite,us,here,to,tell,us,how,inspiring,we,are,without,doing,anything,about,it,because,it,doesnt,lead,to,anything,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hasan,minhaj,responds,after,netflix,pulls,episode,of,his,comedy,show,in,saudi,arabia,clearly,the,best,way,to,stop,people,from,watching,something,is,to,ban,it,make,it,trend,online,and,then,leave,it,up,on,youtube,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
revealed,trumps,election,consultants,filmed,saying,they,use,bribes,and,sex,workers,to,entrap,politicians,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
australian,pm,stop,hoarding,i,cant,be,more,blunt,about,it,stop,it,it,is,not,sensible,it,is,not,helpful,and,it,has,been,one,of,the,most,disappointing,things,i,have,seen,in,australian,behaviour,in,response,to,this,crisis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trump,signs,bill,backing,hong,kong,protesters,into,law,in,spite,of,beijings,objections,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
new,zealand,beats,coronavirus,for,the,second,time,with,no,active,community,cases,as,of,today,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
macron,wins,french,presidency,by,decisive,margin,over,le,pen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
multiple,rockets,hit,taji,base,in,iraq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dictatorships,often,start,in,the,face,of,a,threat,un,privacy,chief,warns,against,longlasting,theft,of,freedoms,amid,coronavirus,surveillance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
thailand,removes,cannabis,from,narcotics,list,decriminalises,growing,plants,at,home,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
world,health,organization,declares,the,coronavirus,outbreak,a,global,pandemic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
us,senate,unanimously,condemns,putin,as,war,criminal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
no,one,owns,internet,so,it,should,be,open,and,accessible,to,everyone,says,the,chairman,of,the,telecom,regulatory,authority,of,india,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cocacola,paid,scientists,to,downplay,how,sugary,beverages,fueled,the,obesity,crisis,between,20132015,medical,journal,study,finds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cohens,lawyer,says,hes,completely,flipped,and,will,give,evidence,that,trump,colluded,with,russia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
the,trump,administration,is,barring,irans,top,diplomat,from,entering,the,united,states,this,week,to,address,the,united,nations,security,council,about,the,us,assassination,of,irans,top,military,official,in,baghdad,violating,the,terms,of,a,1947,headquarters,agreement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
